I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcublas.so.8.0 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcudnn.so.5 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcufft.so.8.0 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcurand.so.8.0 locally
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE3 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:910] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
I tensorflow/core/common_runtime/gpu/gpu_device.cc:885] Found device 0 with properties: 
name: GeForce GTX 750 Ti
major: 5 minor: 0 memoryClockRate (GHz) 1.0845
pciBusID 0000:01:00.0
Total memory: 1.95GiB
Free memory: 1.85GiB
2017-03-27 20:45:53.970848: Step 7940: Train accuracy = 89.0%
2017-03-27 20:45:53.970886: Step 7940: Cross entropy = 0.448666
2017-03-27 20:45:54.059389: Step 7940: Validation accuracy = 84.0% (N=100)
2017-03-27 20:45:55.077967: Step 7950: Train accuracy = 88.0%
2017-03-27 20:45:55.078008: Step 7950: Cross entropy = 0.418950
2017-03-27 20:45:55.190666: Step 7950: Validation accuracy = 85.0% (N=100)
2017-03-27 20:45:56.230281: Step 7960: Train accuracy = 83.0%
2017-03-27 20:45:56.230320: Step 7960: Cross entropy = 0.562347
2017-03-27 20:45:56.342569: Step 7960: Validation accuracy = 84.0% (N=100)
2017-03-27 20:45:57.434288: Step 7970: Train accuracy = 87.0%
2017-03-27 20:45:57.434328: Step 7970: Cross entropy = 0.434098
2017-03-27 20:45:57.540823: Step 7970: Validation accuracy = 84.0% (N=100)
2017-03-27 20:45:58.647801: Step 7980: Train accuracy = 82.0%
2017-03-27 20:45:58.647842: Step 7980: Cross entropy = 0.570086
2017-03-27 20:45:58.764334: Step 7980: Validation accuracy = 86.0% (N=100)
2017-03-27 20:45:59.860873: Step 7990: Train accuracy = 85.0%
2017-03-27 20:45:59.860911: Step 7990: Cross entropy = 0.501916
2017-03-27 20:45:59.949779: Step 7990: Validation accuracy = 77.0% (N=100)
2017-03-27 20:46:00.988725: Step 8000: Train accuracy = 82.0%
2017-03-27 20:46:00.988767: Step 8000: Cross entropy = 0.570279
2017-03-27 20:46:01.103781: Step 8000: Validation accuracy = 83.0% (N=100)
2017-03-27 20:46:02.245793: Step 8010: Train accuracy = 85.0%
2017-03-27 20:46:02.245836: Step 8010: Cross entropy = 0.509022
2017-03-27 20:46:02.374010: Step 8010: Validation accuracy = 82.0% (N=100)
2017-03-27 20:46:03.510489: Step 8020: Train accuracy = 84.0%
2017-03-27 20:46:03.510533: Step 8020: Cross entropy = 0.571216
2017-03-27 20:46:03.622263: Step 8020: Validation accuracy = 84.0% (N=100)
2017-03-27 20:46:04.750980: Step 8030: Train accuracy = 88.0%
2017-03-27 20:46:04.751024: Step 8030: Cross entropy = 0.487525
2017-03-27 20:46:04.865030: Step 8030: Validation accuracy = 81.0% (N=100)
2017-03-27 20:46:05.974602: Step 8040: Train accuracy = 89.0%
2017-03-27 20:46:05.974639: Step 8040: Cross entropy = 0.430557
2017-03-27 20:46:06.062696: Step 8040: Validation accuracy = 80.0% (N=100)
2017-03-27 20:46:07.065361: Step 8050: Train accuracy = 94.0%
2017-03-27 20:46:07.065404: Step 8050: Cross entropy = 0.388355
2017-03-27 20:46:07.184503: Step 8050: Validation accuracy = 83.0% (N=100)
2017-03-27 20:46:08.278379: Step 8060: Train accuracy = 85.0%
2017-03-27 20:46:08.278419: Step 8060: Cross entropy = 0.566014
2017-03-27 20:46:08.388148: Step 8060: Validation accuracy = 86.0% (N=100)
2017-03-27 20:46:09.536926: Step 8070: Train accuracy = 85.0%
2017-03-27 20:46:09.536967: Step 8070: Cross entropy = 0.537087
2017-03-27 20:46:09.651546: Step 8070: Validation accuracy = 81.0% (N=100)
2017-03-27 20:46:10.782884: Step 8080: Train accuracy = 90.0%
2017-03-27 20:46:10.782928: Step 8080: Cross entropy = 0.423080
2017-03-27 20:46:10.897752: Step 8080: Validation accuracy = 85.0% (N=100)
2017-03-27 20:46:12.009860: Step 8090: Train accuracy = 86.0%
2017-03-27 20:46:12.009902: Step 8090: Cross entropy = 0.453766
2017-03-27 20:46:12.124494: Step 8090: Validation accuracy = 80.0% (N=100)
2017-03-27 20:46:13.230863: Step 8100: Train accuracy = 87.0%
2017-03-27 20:46:13.230904: Step 8100: Cross entropy = 0.459074
2017-03-27 20:46:13.344550: Step 8100: Validation accuracy = 85.0% (N=100)
2017-03-27 20:46:14.529669: Step 8110: Train accuracy = 86.0%
2017-03-27 20:46:14.529706: Step 8110: Cross entropy = 0.473106
2017-03-27 20:46:14.621840: Step 8110: Validation accuracy = 83.0% (N=100)
2017-03-27 20:46:15.678431: Step 8120: Train accuracy = 90.0%
2017-03-27 20:46:15.678473: Step 8120: Cross entropy = 0.448186
2017-03-27 20:46:15.792609: Step 8120: Validation accuracy = 79.0% (N=100)
2017-03-27 20:46:16.922963: Step 8130: Train accuracy = 84.0%
2017-03-27 20:46:16.923005: Step 8130: Cross entropy = 0.586569
2017-03-27 20:46:17.039034: Step 8130: Validation accuracy = 82.0% (N=100)
2017-03-27 20:46:18.159895: Step 8140: Train accuracy = 87.0%
2017-03-27 20:46:18.159936: Step 8140: Cross entropy = 0.445501
2017-03-27 20:46:18.274146: Step 8140: Validation accuracy = 81.0% (N=100)
2017-03-27 20:46:19.306023: Step 8150: Train accuracy = 81.0%
2017-03-27 20:46:19.306064: Step 8150: Cross entropy = 0.568521
2017-03-27 20:46:19.420844: Step 8150: Validation accuracy = 87.0% (N=100)
2017-03-27 20:46:20.497358: Step 8160: Train accuracy = 88.0%
2017-03-27 20:46:20.497394: Step 8160: Cross entropy = 0.522090
2017-03-27 20:46:20.589085: Step 8160: Validation accuracy = 80.0% (N=100)
2017-03-27 20:46:21.699720: Step 8170: Train accuracy = 90.0%
2017-03-27 20:46:21.699760: Step 8170: Cross entropy = 0.406332
2017-03-27 20:46:21.814795: Step 8170: Validation accuracy = 78.0% (N=100)
2017-03-27 20:46:22.919504: Step 8180: Train accuracy = 85.0%
2017-03-27 20:46:22.919549: Step 8180: Cross entropy = 0.494144
2017-03-27 20:46:23.030711: Step 8180: Validation accuracy = 76.0% (N=100)
2017-03-27 20:46:24.141780: Step 8190: Train accuracy = 88.0%
2017-03-27 20:46:24.141817: Step 8190: Cross entropy = 0.416182
2017-03-27 20:46:24.236646: Step 8190: Validation accuracy = 84.0% (N=100)
2017-03-27 20:46:25.171316: Step 8200: Train accuracy = 89.0%
2017-03-27 20:46:25.171354: Step 8200: Cross entropy = 0.454043
2017-03-27 20:46:25.292934: Step 8200: Validation accuracy = 83.0% (N=100)
2017-03-27 20:46:26.553416: Step 8210: Train accuracy = 87.0%
2017-03-27 20:46:26.553455: Step 8210: Cross entropy = 0.515860
2017-03-27 20:46:26.643014: Step 8210: Validation accuracy = 88.0% (N=100)
2017-03-27 20:46:27.628870: Step 8220: Train accuracy = 83.0%
2017-03-27 20:46:27.628911: Step 8220: Cross entropy = 0.509457
2017-03-27 20:46:27.751346: Step 8220: Validation accuracy = 88.0% (N=100)
2017-03-27 20:46:28.852105: Step 8230: Train accuracy = 86.0%
2017-03-27 20:46:28.852147: Step 8230: Cross entropy = 0.531340
2017-03-27 20:46:28.958346: Step 8230: Validation accuracy = 85.0% (N=100)
2017-03-27 20:46:30.067243: Step 8240: Train accuracy = 91.0%
2017-03-27 20:46:30.067286: Step 8240: Cross entropy = 0.417431
2017-03-27 20:46:30.178631: Step 8240: Validation accuracy = 84.0% (N=100)
2017-03-27 20:46:31.266368: Step 8250: Train accuracy = 91.0%
2017-03-27 20:46:31.266411: Step 8250: Cross entropy = 0.430742
2017-03-27 20:46:31.379647: Step 8250: Validation accuracy = 83.0% (N=100)
2017-03-27 20:46:32.538203: Step 8260: Train accuracy = 83.0%
2017-03-27 20:46:32.538246: Step 8260: Cross entropy = 0.568046
2017-03-27 20:46:32.641427: Step 8260: Validation accuracy = 79.0% (N=100)
2017-03-27 20:46:33.725269: Step 8270: Train accuracy = 90.0%
2017-03-27 20:46:33.725310: Step 8270: Cross entropy = 0.444342
2017-03-27 20:46:33.837863: Step 8270: Validation accuracy = 89.0% (N=100)
2017-03-27 20:46:34.923226: Step 8280: Train accuracy = 91.0%
2017-03-27 20:46:34.923267: Step 8280: Cross entropy = 0.412441
2017-03-27 20:46:35.037110: Step 8280: Validation accuracy = 76.0% (N=100)
2017-03-27 20:46:36.150056: Step 8290: Train accuracy = 91.0%
2017-03-27 20:46:36.150098: Step 8290: Cross entropy = 0.372312
2017-03-27 20:46:36.285341: Step 8290: Validation accuracy = 85.0% (N=100)
2017-03-27 20:46:37.351490: Step 8300: Train accuracy = 89.0%
2017-03-27 20:46:37.351533: Step 8300: Cross entropy = 0.445672
2017-03-27 20:46:37.467447: Step 8300: Validation accuracy = 82.0% (N=100)
2017-03-27 20:46:38.592155: Step 8310: Train accuracy = 91.0%
2017-03-27 20:46:38.592197: Step 8310: Cross entropy = 0.442577
2017-03-27 20:46:38.717412: Step 8310: Validation accuracy = 82.0% (N=100)
2017-03-27 20:46:39.870329: Step 8320: Train accuracy = 91.0%
2017-03-27 20:46:39.870372: Step 8320: Cross entropy = 0.375011
2017-03-27 20:46:40.004918: Step 8320: Validation accuracy = 78.0% (N=100)
2017-03-27 20:46:41.173357: Step 8330: Train accuracy = 86.0%
2017-03-27 20:46:41.173399: Step 8330: Cross entropy = 0.462871
2017-03-27 20:46:41.287754: Step 8330: Validation accuracy = 80.0% (N=100)
2017-03-27 20:46:42.399406: Step 8340: Train accuracy = 83.0%
2017-03-27 20:46:42.399441: Step 8340: Cross entropy = 0.509378
2017-03-27 20:46:42.514850: Step 8340: Validation accuracy = 82.0% (N=100)
2017-03-27 20:46:43.620421: Step 8350: Train accuracy = 88.0%
2017-03-27 20:46:43.620467: Step 8350: Cross entropy = 0.481394
2017-03-27 20:46:43.733966: Step 8350: Validation accuracy = 81.0% (N=100)
2017-03-27 20:46:44.839668: Step 8360: Train accuracy = 87.0%
2017-03-27 20:46:44.839727: Step 8360: Cross entropy = 0.460795
2017-03-27 20:46:44.937293: Step 8360: Validation accuracy = 83.0% (N=100)
2017-03-27 20:46:45.922425: Step 8370: Train accuracy = 92.0%
2017-03-27 20:46:45.922466: Step 8370: Cross entropy = 0.345370
2017-03-27 20:46:46.039921: Step 8370: Validation accuracy = 83.0% (N=100)
2017-03-27 20:46:47.159164: Step 8380: Train accuracy = 90.0%
2017-03-27 20:46:47.159205: Step 8380: Cross entropy = 0.376960
2017-03-27 20:46:47.271271: Step 8380: Validation accuracy = 86.0% (N=100)
2017-03-27 20:46:48.402817: Step 8390: Train accuracy = 85.0%
2017-03-27 20:46:48.402859: Step 8390: Cross entropy = 0.512585
2017-03-27 20:46:48.522915: Step 8390: Validation accuracy = 84.0% (N=100)
2017-03-27 20:46:49.575182: Step 8400: Train accuracy = 89.0%
2017-03-27 20:46:49.575223: Step 8400: Cross entropy = 0.445818
2017-03-27 20:46:49.694773: Step 8400: Validation accuracy = 86.0% (N=100)
2017-03-27 20:46:50.815816: Step 8410: Train accuracy = 85.0%
2017-03-27 20:46:50.815856: Step 8410: Cross entropy = 0.443104
2017-03-27 20:46:50.915676: Step 8410: Validation accuracy = 87.0% (N=100)
2017-03-27 20:46:51.959169: Step 8420: Train accuracy = 89.0%
2017-03-27 20:46:51.959209: Step 8420: Cross entropy = 0.458268
2017-03-27 20:46:52.070629: Step 8420: Validation accuracy = 87.0% (N=100)
2017-03-27 20:46:53.171310: Step 8430: Train accuracy = 89.0%
2017-03-27 20:46:53.171350: Step 8430: Cross entropy = 0.402271
2017-03-27 20:46:53.286510: Step 8430: Validation accuracy = 82.0% (N=100)
2017-03-27 20:46:54.404900: Step 8440: Train accuracy = 84.0%
2017-03-27 20:46:54.404948: Step 8440: Cross entropy = 0.528664
2017-03-27 20:46:54.526896: Step 8440: Validation accuracy = 90.0% (N=100)
2017-03-27 20:46:55.527346: Step 8450: Train accuracy = 92.0%
2017-03-27 20:46:55.527384: Step 8450: Cross entropy = 0.344950
2017-03-27 20:46:55.626042: Step 8450: Validation accuracy = 83.0% (N=100)
2017-03-27 20:46:56.730131: Step 8460: Train accuracy = 87.0%
2017-03-27 20:46:56.730175: Step 8460: Cross entropy = 0.496940
2017-03-27 20:46:56.849624: Step 8460: Validation accuracy = 84.0% (N=100)
2017-03-27 20:46:57.925535: Step 8470: Train accuracy = 88.0%
2017-03-27 20:46:57.925573: Step 8470: Cross entropy = 0.510634
2017-03-27 20:46:58.039349: Step 8470: Validation accuracy = 83.0% (N=100)
2017-03-27 20:46:59.210190: Step 8480: Train accuracy = 82.0%
2017-03-27 20:46:59.210233: Step 8480: Cross entropy = 0.512026
2017-03-27 20:46:59.325095: Step 8480: Validation accuracy = 87.0% (N=100)
2017-03-27 20:47:00.469413: Step 8490: Train accuracy = 79.0%
2017-03-27 20:47:00.469457: Step 8490: Cross entropy = 0.598847
2017-03-27 20:47:00.577818: Step 8490: Validation accuracy = 89.0% (N=100)
2017-03-27 20:47:01.656563: Step 8500: Train accuracy = 84.0%
2017-03-27 20:47:01.656604: Step 8500: Cross entropy = 0.543371
2017-03-27 20:47:01.773332: Step 8500: Validation accuracy = 82.0% (N=100)
2017-03-27 20:47:02.884016: Step 8510: Train accuracy = 86.0%
2017-03-27 20:47:02.884056: Step 8510: Cross entropy = 0.486551
2017-03-27 20:47:03.005017: Step 8510: Validation accuracy = 75.0% (N=100)
2017-03-27 20:47:04.129854: Step 8520: Train accuracy = 89.0%
2017-03-27 20:47:04.129898: Step 8520: Cross entropy = 0.455614
2017-03-27 20:47:04.237123: Step 8520: Validation accuracy = 87.0% (N=100)
2017-03-27 20:47:05.345844: Step 8530: Train accuracy = 92.0%
2017-03-27 20:47:05.345885: Step 8530: Cross entropy = 0.385534
2017-03-27 20:47:05.464192: Step 8530: Validation accuracy = 84.0% (N=100)
2017-03-27 20:47:06.591096: Step 8540: Train accuracy = 82.0%
2017-03-27 20:47:06.591139: Step 8540: Cross entropy = 0.494678
2017-03-27 20:47:06.707217: Step 8540: Validation accuracy = 85.0% (N=100)
2017-03-27 20:47:07.731689: Step 8550: Train accuracy = 86.0%
2017-03-27 20:47:07.731732: Step 8550: Cross entropy = 0.501565
2017-03-27 20:47:07.820464: Step 8550: Validation accuracy = 77.0% (N=100)
2017-03-27 20:47:08.887035: Step 8560: Train accuracy = 83.0%
2017-03-27 20:47:08.887081: Step 8560: Cross entropy = 0.503499
2017-03-27 20:47:08.997225: Step 8560: Validation accuracy = 86.0% (N=100)
2017-03-27 20:47:09.979163: Step 8570: Train accuracy = 88.0%
2017-03-27 20:47:09.979199: Step 8570: Cross entropy = 0.452903
2017-03-27 20:47:10.067301: Step 8570: Validation accuracy = 83.0% (N=100)
2017-03-27 20:47:10.944729: Step 8580: Train accuracy = 87.0%
2017-03-27 20:47:10.944784: Step 8580: Cross entropy = 0.507045
2017-03-27 20:47:11.062512: Step 8580: Validation accuracy = 76.0% (N=100)
2017-03-27 20:47:12.176931: Step 8590: Train accuracy = 91.0%
2017-03-27 20:47:12.176969: Step 8590: Cross entropy = 0.371038
2017-03-27 20:47:12.292264: Step 8590: Validation accuracy = 85.0% (N=100)
2017-03-27 20:47:13.419205: Step 8600: Train accuracy = 90.0%
2017-03-27 20:47:13.419249: Step 8600: Cross entropy = 0.394685
2017-03-27 20:47:13.535393: Step 8600: Validation accuracy = 78.0% (N=100)
2017-03-27 20:47:14.523466: Step 8610: Train accuracy = 89.0%
2017-03-27 20:47:14.523508: Step 8610: Cross entropy = 0.449088
2017-03-27 20:47:14.642248: Step 8610: Validation accuracy = 85.0% (N=100)
2017-03-27 20:47:15.720164: Step 8620: Train accuracy = 84.0%
2017-03-27 20:47:15.720201: Step 8620: Cross entropy = 0.521592
2017-03-27 20:47:15.812249: Step 8620: Validation accuracy = 85.0% (N=100)
2017-03-27 20:47:16.879190: Step 8630: Train accuracy = 88.0%
2017-03-27 20:47:16.879234: Step 8630: Cross entropy = 0.438992
2017-03-27 20:47:16.985652: Step 8630: Validation accuracy = 80.0% (N=100)
2017-03-27 20:47:18.109832: Step 8640: Train accuracy = 91.0%
2017-03-27 20:47:18.109876: Step 8640: Cross entropy = 0.437840
2017-03-27 20:47:18.225560: Step 8640: Validation accuracy = 81.0% (N=100)
2017-03-27 20:47:19.370993: Step 8650: Train accuracy = 90.0%
2017-03-27 20:47:19.371034: Step 8650: Cross entropy = 0.485960
2017-03-27 20:47:19.485295: Step 8650: Validation accuracy = 83.0% (N=100)
2017-03-27 20:47:20.417610: Step 8660: Train accuracy = 83.0%
2017-03-27 20:47:20.417649: Step 8660: Cross entropy = 0.518723
2017-03-27 20:47:20.507287: Step 8660: Validation accuracy = 82.0% (N=100)
2017-03-27 20:47:21.484904: Step 8670: Train accuracy = 89.0%
2017-03-27 20:47:21.484946: Step 8670: Cross entropy = 0.398973
2017-03-27 20:47:21.601015: Step 8670: Validation accuracy = 82.0% (N=100)
2017-03-27 20:47:22.610856: Step 8680: Train accuracy = 86.0%
2017-03-27 20:47:22.610897: Step 8680: Cross entropy = 0.424356
2017-03-27 20:47:22.721527: Step 8680: Validation accuracy = 81.0% (N=100)
2017-03-27 20:47:23.834136: Step 8690: Train accuracy = 87.0%
2017-03-27 20:47:23.834177: Step 8690: Cross entropy = 0.471765
2017-03-27 20:47:23.944669: Step 8690: Validation accuracy = 81.0% (N=100)
2017-03-27 20:47:25.055905: Step 8700: Train accuracy = 84.0%
2017-03-27 20:47:25.055945: Step 8700: Cross entropy = 0.522462
2017-03-27 20:47:25.164330: Step 8700: Validation accuracy = 89.0% (N=100)
2017-03-27 20:47:26.252022: Step 8710: Train accuracy = 90.0%
2017-03-27 20:47:26.252065: Step 8710: Cross entropy = 0.422304
2017-03-27 20:47:26.368466: Step 8710: Validation accuracy = 90.0% (N=100)
2017-03-27 20:47:27.506020: Step 8720: Train accuracy = 88.0%
2017-03-27 20:47:27.506064: Step 8720: Cross entropy = 0.470525
2017-03-27 20:47:27.619524: Step 8720: Validation accuracy = 85.0% (N=100)
2017-03-27 20:47:28.726104: Step 8730: Train accuracy = 89.0%
2017-03-27 20:47:28.726144: Step 8730: Cross entropy = 0.445986
2017-03-27 20:47:28.841101: Step 8730: Validation accuracy = 80.0% (N=100)
2017-03-27 20:47:29.959499: Step 8740: Train accuracy = 93.0%
2017-03-27 20:47:29.959543: Step 8740: Cross entropy = 0.373486
2017-03-27 20:47:30.086054: Step 8740: Validation accuracy = 81.0% (N=100)
2017-03-27 20:47:31.186812: Step 8750: Train accuracy = 83.0%
2017-03-27 20:47:31.186853: Step 8750: Cross entropy = 0.537672
2017-03-27 20:47:31.297945: Step 8750: Validation accuracy = 79.0% (N=100)
2017-03-27 20:47:32.335327: Step 8760: Train accuracy = 89.0%
2017-03-27 20:47:32.335364: Step 8760: Cross entropy = 0.431898
2017-03-27 20:47:32.437038: Step 8760: Validation accuracy = 86.0% (N=100)
2017-03-27 20:47:33.564293: Step 8770: Train accuracy = 88.0%
2017-03-27 20:47:33.564334: Step 8770: Cross entropy = 0.429332
2017-03-27 20:47:33.683236: Step 8770: Validation accuracy = 85.0% (N=100)
2017-03-27 20:47:34.790762: Step 8780: Train accuracy = 90.0%
2017-03-27 20:47:34.790809: Step 8780: Cross entropy = 0.417962
2017-03-27 20:47:34.904393: Step 8780: Validation accuracy = 88.0% (N=100)
2017-03-27 20:47:36.010865: Step 8790: Train accuracy = 83.0%
2017-03-27 20:47:36.010905: Step 8790: Cross entropy = 0.474669
2017-03-27 20:47:36.116180: Step 8790: Validation accuracy = 80.0% (N=100)
2017-03-27 20:47:37.211515: Step 8800: Train accuracy = 85.0%
2017-03-27 20:47:37.211556: Step 8800: Cross entropy = 0.482556
2017-03-27 20:47:37.323933: Step 8800: Validation accuracy = 86.0% (N=100)
2017-03-27 20:47:38.374389: Step 8810: Train accuracy = 85.0%
2017-03-27 20:47:38.374426: Step 8810: Cross entropy = 0.524122
2017-03-27 20:47:38.463442: Step 8810: Validation accuracy = 88.0% (N=100)
2017-03-27 20:47:39.533079: Step 8820: Train accuracy = 86.0%
2017-03-27 20:47:39.533122: Step 8820: Cross entropy = 0.517702
2017-03-27 20:47:39.644514: Step 8820: Validation accuracy = 83.0% (N=100)
2017-03-27 20:47:40.817163: Step 8830: Train accuracy = 89.0%
2017-03-27 20:47:40.817205: Step 8830: Cross entropy = 0.449399
2017-03-27 20:47:40.930512: Step 8830: Validation accuracy = 82.0% (N=100)
2017-03-27 20:47:42.045813: Step 8840: Train accuracy = 89.0%
2017-03-27 20:47:42.045854: Step 8840: Cross entropy = 0.353547
2017-03-27 20:47:42.158486: Step 8840: Validation accuracy = 84.0% (N=100)
2017-03-27 20:47:43.272557: Step 8850: Train accuracy = 86.0%
2017-03-27 20:47:43.272599: Step 8850: Cross entropy = 0.470740
2017-03-27 20:47:43.381121: Step 8850: Validation accuracy = 87.0% (N=100)
2017-03-27 20:47:44.435846: Step 8860: Train accuracy = 91.0%
2017-03-27 20:47:44.435883: Step 8860: Cross entropy = 0.415354
2017-03-27 20:47:44.526349: Step 8860: Validation accuracy = 86.0% (N=100)
2017-03-27 20:47:45.545182: Step 8870: Train accuracy = 87.0%
2017-03-27 20:47:45.545224: Step 8870: Cross entropy = 0.430491
2017-03-27 20:47:45.662742: Step 8870: Validation accuracy = 80.0% (N=100)
2017-03-27 20:47:46.767321: Step 8880: Train accuracy = 85.0%
2017-03-27 20:47:46.767364: Step 8880: Cross entropy = 0.512550
2017-03-27 20:47:46.881133: Step 8880: Validation accuracy = 83.0% (N=100)
2017-03-27 20:47:47.998825: Step 8890: Train accuracy = 88.0%
2017-03-27 20:47:47.998868: Step 8890: Cross entropy = 0.403482
2017-03-27 20:47:48.113999: Step 8890: Validation accuracy = 84.0% (N=100)
2017-03-27 20:47:49.264929: Step 8900: Train accuracy = 87.0%
2017-03-27 20:47:49.264970: Step 8900: Cross entropy = 0.450580
2017-03-27 20:47:49.381691: Step 8900: Validation accuracy = 79.0% (N=100)
2017-03-27 20:47:50.489559: Step 8910: Train accuracy = 86.0%
2017-03-27 20:47:50.489597: Step 8910: Cross entropy = 0.442467
2017-03-27 20:47:50.572755: Step 8910: Validation accuracy = 90.0% (N=100)
2017-03-27 20:47:51.694605: Step 8920: Train accuracy = 83.0%
2017-03-27 20:47:51.694647: Step 8920: Cross entropy = 0.460798
2017-03-27 20:47:51.834226: Step 8920: Validation accuracy = 83.0% (N=100)
2017-03-27 20:47:53.008700: Step 8930: Train accuracy = 87.0%
2017-03-27 20:47:53.008742: Step 8930: Cross entropy = 0.483606
2017-03-27 20:47:53.127718: Step 8930: Validation accuracy = 84.0% (N=100)
2017-03-27 20:47:54.249472: Step 8940: Train accuracy = 84.0%
2017-03-27 20:47:54.249512: Step 8940: Cross entropy = 0.477231
2017-03-27 20:47:54.359130: Step 8940: Validation accuracy = 82.0% (N=100)
2017-03-27 20:47:55.454712: Step 8950: Train accuracy = 84.0%
2017-03-27 20:47:55.454752: Step 8950: Cross entropy = 0.566381
2017-03-27 20:47:55.567073: Step 8950: Validation accuracy = 82.0% (N=100)
2017-03-27 20:47:56.657371: Step 8960: Train accuracy = 85.0%
2017-03-27 20:47:56.657409: Step 8960: Cross entropy = 0.471944
2017-03-27 20:47:56.771633: Step 8960: Validation accuracy = 87.0% (N=100)
2017-03-27 20:47:57.874744: Step 8970: Train accuracy = 88.0%
2017-03-27 20:47:57.874782: Step 8970: Cross entropy = 0.503256
2017-03-27 20:47:57.983903: Step 8970: Validation accuracy = 84.0% (N=100)
2017-03-27 20:47:59.055397: Step 8980: Train accuracy = 91.0%
2017-03-27 20:47:59.055438: Step 8980: Cross entropy = 0.357986
2017-03-27 20:47:59.168205: Step 8980: Validation accuracy = 84.0% (N=100)
2017-03-27 20:48:00.290158: Step 8990: Train accuracy = 89.0%
2017-03-27 20:48:00.290202: Step 8990: Cross entropy = 0.460919
2017-03-27 20:48:00.405472: Step 8990: Validation accuracy = 84.0% (N=100)
2017-03-27 20:48:01.563890: Step 9000: Train accuracy = 90.0%
2017-03-27 20:48:01.563940: Step 9000: Cross entropy = 0.409301
2017-03-27 20:48:01.683099: Step 9000: Validation accuracy = 72.0% (N=100)
2017-03-27 20:48:02.782873: Step 9010: Train accuracy = 90.0%
2017-03-27 20:48:02.782910: Step 9010: Cross entropy = 0.414656
2017-03-27 20:48:02.871826: Step 9010: Validation accuracy = 81.0% (N=100)
2017-03-27 20:48:04.007346: Step 9020: Train accuracy = 85.0%
2017-03-27 20:48:04.007385: Step 9020: Cross entropy = 0.483706
2017-03-27 20:48:04.125945: Step 9020: Validation accuracy = 89.0% (N=100)
2017-03-27 20:48:05.244008: Step 9030: Train accuracy = 89.0%
2017-03-27 20:48:05.244050: Step 9030: Cross entropy = 0.506821
2017-03-27 20:48:05.356755: Step 9030: Validation accuracy = 84.0% (N=100)
2017-03-27 20:48:06.517530: Step 9040: Train accuracy = 87.0%
2017-03-27 20:48:06.517581: Step 9040: Cross entropy = 0.472883
2017-03-27 20:48:06.634768: Step 9040: Validation accuracy = 85.0% (N=100)
2017-03-27 20:48:07.753967: Step 9050: Train accuracy = 90.0%
2017-03-27 20:48:07.754009: Step 9050: Cross entropy = 0.404185
2017-03-27 20:48:07.866645: Step 9050: Validation accuracy = 81.0% (N=100)
2017-03-27 20:48:08.967815: Step 9060: Train accuracy = 86.0%
2017-03-27 20:48:08.967859: Step 9060: Cross entropy = 0.477995
2017-03-27 20:48:09.081181: Step 9060: Validation accuracy = 89.0% (N=100)
2017-03-27 20:48:10.091253: Step 9070: Train accuracy = 89.0%
2017-03-27 20:48:10.091293: Step 9070: Cross entropy = 0.505959
2017-03-27 20:48:10.181313: Step 9070: Validation accuracy = 87.0% (N=100)
2017-03-27 20:48:11.077647: Step 9080: Train accuracy = 88.0%
2017-03-27 20:48:11.077690: Step 9080: Cross entropy = 0.460565
2017-03-27 20:48:11.188224: Step 9080: Validation accuracy = 89.0% (N=100)
2017-03-27 20:48:12.318074: Step 9090: Train accuracy = 82.0%
2017-03-27 20:48:12.318114: Step 9090: Cross entropy = 0.456289
2017-03-27 20:48:12.438317: Step 9090: Validation accuracy = 81.0% (N=100)
2017-03-27 20:48:13.593998: Step 9100: Train accuracy = 86.0%
2017-03-27 20:48:13.594036: Step 9100: Cross entropy = 0.468254
2017-03-27 20:48:13.683346: Step 9100: Validation accuracy = 83.0% (N=100)
2017-03-27 20:48:14.774995: Step 9110: Train accuracy = 89.0%
2017-03-27 20:48:14.775044: Step 9110: Cross entropy = 0.404278
2017-03-27 20:48:14.946637: Step 9110: Validation accuracy = 80.0% (N=100)
